researcher name,grant years,paper1,paper2,paper3,paper4,paper5,paper6
Nancy Ratner,"[2013, 2014, 2015, 2015, 2018, 2016]","10.1038_ng.2641.txt , 10.1158_1535-7163.MCT-10-1087.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1002_ana.24659.txt , 10.1158_0008-5472.CAN-11-4092.txt , 10.1172_JCI60578.txt , 10.1016_j.ccell.2018.01.005.txt , 10.1007_s00401-011-0905-0.txt , 10.1101_gad.862101.txt , 10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_0008-5472.CAN-10-4558.txt , 10.1002_ajmg.a.36793.txt , 10.1158_0008-5472.CAN-03-3798.txt , 10.1038_nrc3911.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1016_j.ccr.2007.12.027.txt","10.1016_j.ajpath.2014.04.006.txt , 10.1111_j.1349-7006.2010.01616.x.txt , 10.1002_ana.24659.txt , 10.1158_0008-5472.CAN-11-4092.txt , 10.1172_JCI60578.txt , 10.1016_j.ccell.2018.01.005.txt , 10.1007_s00401-011-0905-0.txt , 10.1101_gad.862101.txt , 10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_0008-5472.CAN-10-4558.txt , 10.1002_ajmg.a.36793.txt , 10.1158_0008-5472.CAN-03-3798.txt , 10.1038_nrc3911.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1016_j.ccr.2007.12.027.txt","10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_0008-5472.CAN-10-4558.txt , 10.1002_ajmg.a.36793.txt , 10.1158_0008-5472.CAN-03-3798.txt , 10.1038_nrc3911.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1016_j.ccr.2007.12.027.txt","10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt , 10.1158_0008-5472.CAN-10-4558.txt , 10.1002_ajmg.a.36793.txt , 10.1158_0008-5472.CAN-03-3798.txt , 10.1038_nrc3911.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1016_j.ccr.2007.12.027.txt",,"10.1158_0008-5472.CAN-03-3798.txt , 10.1038_nrc3911.txt , 10.1016_S1534-5807(01)00009-0.txt , 10.1016_j.ccr.2007.12.027.txt"
Emmanuelle Di Tomaso,[2008],"10.1056_NEJMoa0902579.txt , 10.1158_0008-5472.CAN-09-3107.txt , 10.1593_neo.111600.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Alberto Pasqual-Montano,[2014],,,,,,
Dipak N Patil,[2017],,,,,,
Johanna Buchstaller,[2010],"10.1016_j.ccr.2011.12.027.txt , 10.1016_j.ccr.2008.01.003.txt , 10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Jan M Friedman,[2012],,,,,,
Krishna Chinthalapudi,[2016],,,,,,
Lee Da Young,[2009],,,,,,
Rajesh Khanna,"[2011, 2013, 2019]","10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.04.002.txt , 10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt","10.1016_j.neuroscience.2018.04.002.txt , 10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt",,,,
Marisa Ann Fuse,[2017],,,,,,
