researcher name,grant start years,paper1,paper2,paper3,paper4,paper5,paper6
Chunling Yi,[2009],"10.1101_gad.1938710.txt , 10.1101_gad.1964810.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1007_s00401-011-0905-0.txt , 10.1126_scisignal.2004060.txt , 10.1038_bjc.2016.354.txt",,,,,
Tao Sun,[2012],10.1172_JCI71048.txt,,,,,
Linnea Vose,[2008],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Wu Xu,[2011],,,,,,
Matthew Karolak,[2013],,,,,,
Cynthia M Hingtgen,[2011],10.1016_S1470-2045(12)70414-X.txt,,,,,
Ionica Masgras,[2016],10.3389_fonc.2017.00058.txt,,,,,
Jessica Casaletto,[2006],"10.1146_annurev.pathol.2.010506.091940.txt , 10.1038_sj.bjc.6604002.txt",,,,,
Abraham Jacob,[2007],"10.1158_1078-0432.CCR-08-3011.txt , 10.1093_neuonc_nor072.txt , 10.1002_ajmg.a.34359.txt , 10.1158_0008-5472.CAN-12-1888.txt",,,,,
Mohensi Jahanshahi,[2010],,,,,,
Justin Guinney,[2014],,,,,,
Karen Cichowski,"[2006, 2008, 2011, 2013, 2014, 2015]","10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
Liao Chung-Ping,[2014],,,,,,
Ludwine Messiaen,[2014],"10.1002_ajmg.a.36754.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1038_bjc.2016.354.txt , 10.1111_bjd.14873.txt",,,,,
Matthias Karajannis,[2011],"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36754.txt",,,,,
Walker James,[2014],,,,,,
A Thomas Look,"[2010, 2015]",10.7554_eLife.14713.txt,10.7554_eLife.14713.txt,,,,
Gary Johnson,[2014],,,,,,
Long-Sheng Chang,[2014],10.1093_neuonc_now032.txt,,,,,
Cory Johannessen,[2006],,,,,,
Krishna Chinthalapudi,[2014],,,,,,
Dawn E Quelle,[2015],,,,,,
William Guerrant,[2013],10.1002_ajmg.a.38239.txt,,,,,
Abhijit Guha,[2006],"10.1111_j.1349-7006.2010.01616.x.txt , 10.1093_neuonc_nor080.txt , 10.1158_1078-0432.CCR-10-1551.txt , 10.1002_humu.22044.txt",,,,,
Anat Stemmer-Rachamimov,"[2012, 2014]","10.1634_theoncologist.2012-0162.txt , 10.1007_s00401-011-0905-0.txt , 10.1126_scisignal.2004060.txt , 10.1089_hum.2012.094.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_hmg_ddu414.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt , 10.1016_j.expneurol.2017.09.008.txt , 10.18632_oncotarget.4858.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1093_hmg_ddu414.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt , 10.1038_s41467-017-00346-5.txt , 10.1016_j.expneurol.2017.09.008.txt , 10.18632_oncotarget.4858.txt",,,,
Benjamin Braun,[2012],,,,,,
Helen Morrison,[2014],"10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1186_s40478-014-0082-1.txt , 10.1083_jcb.201503081.txt , 10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt",,,,,
Matthew Wood,[2007],,,,,,
Harry T Whelan,[2013],,,,,,
Larry Sherman,"[2009, 2011]","10.1158_0008-5472.CAN-09-0143.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.38239.txt",,,,
Steven Carroll,"[2014, 2014]",10.1093_neuonc_now032.txt,10.1093_neuonc_now032.txt,,,,
Jean-Philippe Brosseau,[2016],,,,,,
Rebecca Dodd,[2012],"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt",,,,,
Weidong Li,[2008],,,,,,
Yuan Wang,[2012],"10.7554_eLife.05151.txt , 10.1002_ajmg.a.36754.txt",,,,,
Georgette Jones,[2006],,,,,,
Chengkai Dai,[2006],"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt",,,,,
Monica Buchanan,[2006],,,,,,
