grant number,researcher,grant start year,paper ID
2007-05-K,Andrea McClatchey,2007,"10.1016_j.cub.2007.11.066.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt"
2008-15-E,Andrea McClatchey, 2008,"10.1016_j.cub.2007.11.066.txt , 10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt"
2009A-05-008,Andrea McClatchey, 2009,"10.1158_1078-0432.CCR-08-3011.txt , 10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt"
2012B-05-001,Andrea McClatchey, 2012,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt"
2014A-05-019,Andrea McClatchey, 2014,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_bjc.2016.354.txt"
2015-05-009,Andrea McClatchey, 2015,10.1038_bjc.2016.354.txt
2016A-05-009,Andrea Rasola,2016,10.3389_fonc.2017.00058.txt
2006-01-H,Angela Hadjipanayis,2006,10.1038_nature11252.txt
2015-18-004C,Angela Waanders,2015,
2008-01-A,Annabel Parret,2008,"10.1001_jama.2009.1663.txt , 10.1016_j.ccr.2009.05.009.txt"
2013-04-002B,Antonio Chiesi,2013,
2014-04-001B,Antonio Chiesi, 2014,
2015-04-007,Antonio Iavarone,2015,
2009-01-004,Arkadiusz Piatrowski,2009,
2015-01-011,Aubin Moutal,2015,"10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt"
2010-01-006,Azar Omrani,2010,
2008-05-A,Bakhos Tannous,2008,
2012A-05-001,Benjamin Braun,2012,
2015-18-002E,Benjamin Darbro,2015,
2011-02-001,Betty M Tyler,2011,
