grant number,researcher,grant start year,paper ID
2012-04-002,Maria Acosta, 2012,
2013-04-001,Maria Acosta, 2013,
2007-05-F,Maria Bernard,2007,
2009B-05-006,Marianne James,2009,"10.1186_1755-8794-2-42.txt , 10.1083_jcb.201503081.txt"
2015-01-012,,2015,
2014-01-007,Mariska Van Lier,2014,
2009B-05-003,Mark Philips,2009,
2010-01-015,Maryam Jahanshahi,2010,"10.1371_journal.pone.0078880.txt , 10.1002_ajmg.a.36312.txt"
2007-01-G,Mateusz Kolanczyk,2007,"10.1093_hmg_ddm032.txt , 10.1002_ajmg.a.33045.txt , 10.1186_1471-2474-11-105.txt , 10.1186_1741-7015-9-82.txt , 10.1093_hmg_ddt515.txt , 10.1016_j.bone.2014.06.012.txt"
2013-01-018,Matthew Karolak,2013,
2007-01-H,Matthew Wood,2007,
2010-10-011,Matthias Karajannis,2011,"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36754.txt"
2012B-05-006,Michael Bownstein,2012,
2014-04-002,Michael Brownstein,2014,
2011-10-003,Michael J Fisher,2012,
2015-03-001,Michael J Fisher, 2015,
2015-18-004B,Michael J Fisher, 2015,
2010B-05-005,Michel Kalamarides,2010,"10.1002_ajmg.a.33189.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36754.txt , 10.1093_neuonc_not242.txt , 10.1007_s11060-014-1710-0.txt , 10.1038_bjc.2016.354.txt , 10.1038_s41467-017-00346-5.txt"
2011-01-006,Miriam Jane Smith,2011,
2014-02-001,Miriam Jane Smith, 2014,
2014A-05-016,Miriam Jane Smith, 2014,
2010B-12-003,Mohensi Jahanshahi,2010,
2006-01-D,Monica Buchanan,2006,
2012A-05-008,Nancy Ratner,2012,"10.1155_2012_620834.txt , 10.1523_JNEUROSCI.3242-12.2012.txt , 10.1158_0008-5472.CAN-11-4092.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2013-17-002,Nancy Ratner, 2013,"10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2014-17-003,Nancy Ratner, 2014,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2015-17-003,Nancy Ratner, 2013,"10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2015-18-003B,Nancy Ratner, 2015,"10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2015B-05-003,Nancy Ratner, 2015,"10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
2010-01-033,Nicolas-Xavier Bonne,2010,"10.1093_neuonc_not242.txt , 10.1007_s11060-016-2150-9.txt"
2010-10-009,Nicole Johnson Ullrich,2011,
2012-10-004,Nicole Johnson Ullrich, 2013,
2007-01-F,Okay Saydam,2007,"10.1128_MCB.00332-09.txt , 10.1158_0008-5472.CAN-10-1219.txt , 10.18632_oncotarget.251.txt , 10.1089_hum.2012.094.txt"
2007-05-E,Oliver Hanemann,2007,"10.1158_0008-5472.CAN-07-5849.txt , 10.1016_j.cell.2010.01.029.txt , 10.1093_neuonc_noq012.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.cell.2010.01.029.txt , 10.1593_neo.111060.txt , 10.1002_ajmg.a.34359.txt , 10.1007_s00401-011-0905-0.txt , 10.1016_j.febslet.2012.03.016.txt , 10.1038_nn.3348.txt , 10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt , 10.1002_ajmg.a.36793.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt"
2012-01-039,Pamela Vanderzalm,2012,
2010A-05-001,Rajesh Khanna,2010,"10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt , 10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt"
2012B-05-002,Rajesh Khanna, 2012,"10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt , 10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt"
2015-04-009A,Rajesh Khanna, 2016,"10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt"
2012-01-008,Rebecca Dodd,2012,"10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt"
2012-01-023,Rebecca Lock,2012,10.1172_JCI85183.txt
2012-01-005,Richard Hugh Frost Bender,2012,
2010-10-004,Robert A Avery,2011,
2014-01-012,Robert Allaway,2014,
2016-04-003,Robert Allaway, 2016,
2011-02-005,Scott R Plotkin,2011,
2015-01-015,Seyedmohammad Ebrahim Tahaei,2015,
2007-01-D,Sheila Alcantara Llaguno,2007,10.1016_j.ccr.2008.12.006.txt
2010-01-010,Sherry K Phillips,2010,
2013-01-016,Shuning He,2013,10.7554_eLife.14713.txt
2015-18-004D,Stefan M. Pfister,2015,
2006-05-C,Stefan Mundlos,2006,"10.1093_hmg_ddm032.txt , 10.1002_ajmg.a.33045.txt , 10.1186_1741-7015-9-82.txt , 10.1016_j.bone.2014.06.012.txt"
2016-01-016,Stephanie Joy Bouley,2016,
2013-04-002A,Steven Carroll,2014,10.1093_neuonc_now032.txt
2014-04-001A,Steven Carroll, 2014,10.1093_neuonc_now032.txt
2011-01-010,Steven D Rhodes,2011,"10.1002_jbmr.1992.txt , 10.1002_jbmr.2538.txt"
2015-05-007,Steven Lewis Carroll,2015,
2007-05-Z,Susan Lindquist,2007,"10.1016_j.cell.2007.07.020.txt , 10.1172_JCI62727.txt"
2014-01-005,Susana Moleirnho,2014,
2008-01-B,Sutapa Banjeree,2008,
2007-01-I,Sybil Williams,2007,
2012-01-036,Tao Sun,2012,10.1172_JCI71048.txt
2010-01-023,Thomas De Raedt,2010,"10.1016_j.ccr.2011.08.014.txt , 10.1002_gcc.20921.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36754.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1002_ajmg.a.38239.txt"
2016-04-001,Thomas De Raedt, 2016,10.1002_ajmg.a.38239.txt
2008-01-F,Timmy Mani,2008,"10.1128_MCB.00248-09.txt , 10.1128_MCB.00609-10.txt"
2008-15-B,Timothy P Cripe,2008,
2011-15-003,Timothy P Cripe, 2011,
2013-01-020,Ting Su,2013,"10.1126_science.1233158.txt , 10.1007_s10637-012-9912-9.txt , 10.1021_jm301762v.txt , 10.1093_jnci_djs471.txt , 10.1016_j.ejca.2013.01.013.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_cddis.2012.200.txt , 10.2147_OTT.S34678.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1007_s10897-014-9688-5.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ccr.2014.02.017.txt , 10.1016_j.celrep.2013.12.041.txt , 10.1038_ng.3116.txt , 10.1007_s11060-014-1522-2.txt , 10.1186_s13013-015-0041-z.txt , 10.1371_journal.pone.0158476.txt , 10.1073_pnas.1607298113.txt , 10.1371_journal.pone.0159718.txt , 10.1073_pnas.1525349113.txt , 10.1371_journal.pone.0178639.txt , 10.1371_journal.pone.0178316.txt , 10.1186_s12864-017-3519-7.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.devcel.2017.02.004.txt , 10.1038_gim.2018.28.txt"
2011B-05-003,Tomoda Toshifumi,2011,
2015-01-005,Vanessa Leigh Merker,2015,
2016A-05-008,Verena Staedtke,2016,10.1007_s13311-017-0518-y.txt
2011-15-006,Wade Clapp,2011,"10.1016_S1470-2045(12)70414-X.txt , 10.1007_s12307-012-0115-x.txt , 10.1007_s00401-011-0905-0.txt , 10.1146_annurev-pathol-011811-132441.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt"
2013-17-003,Wade Clapp, 2013,"10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt"
2014-17-004,Wade Clapp, 2014,"10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt"
2014-18-001D,Wade Clapp, 2014,"10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt"
2015-17-004,Wade Clapp, 2013,"10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt"
2014-02-002,Walker James,2014,
2009-01-013,Wei Li,2009,"10.1016_j.cell.2010.01.029.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1038_embor.2012.11.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt"
2013-01-023,Wei Mo,2013,"10.1158_0008-5472.CAN-13-1934.txt , 10.1016_j.ccell.2014.09.009.txt , 10.1016_j.celrep.2013.12.001.txt"
2008-01-C,Weidong Li,2008,
2007-01-C,Weixi Wang,2007,"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt"
2013-01-022,William Guerrant,2013,10.1002_ajmg.a.38239.txt
2011A-05-008,Wu Xu,2011,
2014-01-020,Xu Jiajie,2014,
2012-01-001,Yuan Wang,2012,"10.7554_eLife.05151.txt , 10.1002_ajmg.a.36754.txt"

